Song URL,Song title,Album title,Artist names
https://music.youtube.com/watch?v=K8P4_3NZsKs,Aankhon Se Batana,Aankhon Se Batana,Dikshant
https://music.youtube.com/watch?v=ugm2SOScEqA,Aazaadiyan - Pairon Ki Bediyan,Udaan,Amit Trivedi | Neuman Pinto | Nikhil D'souza | Amitabh Bhattacharya
https://music.youtube.com/watch?v=h6y520uVPoA,Adaraku,Athadu,Vishwa
https://music.youtube.com/watch?v=zoUagacsu9s,Alag Aasmaan,Alag Aasmaan,Anuv Jain
https://music.youtube.com/watch?v=H4buRu9-Wb4,Another Love,Long Way Down,Tom Odell
https://music.youtube.com/watch?v=tAAkehDAFgk,Arere Avala Naguva,Sarkari Hi. Pra. Shaale  Kasaragodu (Original Motion Picture Soundtrack),Vasuki Vaibhav
https://music.youtube.com/watch?v=RVBMKrvZbYE,AYE DIL BATA,ISHK ACTUALLY,"ARIJIT SINGH, CHIRRANTAN BHATT, MANOJ YADAV"
https://music.youtube.com/watch?v=AtzrpT7S_gw,Bajrang Baan (Lofi),Bajrang Baan (Lofi),Rasraj Ji Maharaj
https://music.youtube.com/watch?v=VV3MJ3D0S9M,Bheegi Bheegi,Saundhi Saundhi Dhoop,James
https://music.youtube.com/watch?v=KJBbX0jzM2c,Blowin' in the Wind,The Freewheelin' Bob Dylan,Bob Dylan
https://music.youtube.com/watch?v=nKAPo0znuHU,Can't Buy Me Loving / La La La,Can't Buy Me Loving,Rauf & Faik
https://music.youtube.com/watch?v=TyX0q0aU6_g,Carnival of Rust,Carnival of Rust,Poets of the Fall
https://music.youtube.com/watch?v=25H8sQEjm8I,Chitti,Jathi Ratnalu,Ram Miriyala
https://music.youtube.com/watch?v=WF0HJv-9S_4,Chura Liya Hai Tumne Jo Dil Ko,Forever Mohammed Rafi Romantic,"Asha Bhosle, Mohammed Rafi"
https://music.youtube.com/watch?v=JXOYZXb0no4,CLOUDS,CLOUDS,NF
https://music.youtube.com/watch?v=lAJazaLrHfQ,Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan
https://music.youtube.com/watch?v=HZbsLxL7GeM,Dandelions,Safe Haven,Ruth B.
https://music.youtube.com/watch?v=Fp0zIE2uhOw,Dil Mera,Dil Mera,"OAFF, Savera, Burrah"
https://music.youtube.com/watch?v=zg95do1LTdk,Dive,÷ (Deluxe),Ed Sheeran
https://music.youtube.com/watch?v=sphomki8dQc,Einaudi: Divenire,James Horner: Pas de Deux,"Mari Samuelsen, Hakon Samuelsen, Royal Liverpool Philharmonic Orchestra, Clark Rundell"
https://music.youtube.com/watch?v=0UdY-dYdpFo,Duniya Kehti Hai (Opening Theme),ImMature : Season 1 (Music from the Original TV Series),Vaibhav Bundhoo
https://music.youtube.com/watch?v=T2Z80wUoSdY,Farq hai,Farq hai,Suzonn
https://music.youtube.com/watch?v=juna42yknaY,Einaudi: Golden Butterflies (Day 1),Seven Days Walking (Day 1),"Ludovico Einaudi, Federico Mecozzi, Redi Hasa"
https://music.youtube.com/watch?v=Bst0TGPvSdU,Got It In You,Got It In You,BANNERS
https://music.youtube.com/watch?v=xJyiIgAKNJA,Kaal Bhairav Ashtakam,Kaal Bhairav Ashtakam,Avinash Gupta
https://music.youtube.com/watch?v=mijrHK95IwM,Kadhal Yennulle,Neram,Ranjith Govind
https://music.youtube.com/watch?v=qD53-RZpTOc,Kanave Kanave,David,Anirudh
https://music.youtube.com/watch?v=ICidikEo0zA,Khoobsurat,ImMature : Season 1 (Music from the Original TV Series),"Vaibhav Bundhoo, Pallak Ranka"
https://music.youtube.com/watch?v=QlSzHUmiVLo,Khwaab,Khwaab,Anumita Nadesan
https://music.youtube.com/watch?v=pRhqHmYSilo,Kola Kalle Ilaa,Varudu Kaavalenu,Sid Sriram
https://music.youtube.com/watch?v=p3NZn0mA_XI,Look On Down From The Bridge,Among My Swan,Mazzy Star
https://music.youtube.com/watch?v=oc3Cq89P97Y,Lux Aeterna,Requiem for a Dream / OST,"Clint Mansell, Kronos Quartet"
https://music.youtube.com/watch?v=y8OqFR51Cic,Lux Æterna,Lux Æterna,Metallica
https://music.youtube.com/watch?v=ZUtAe5PUKtE,Mad World,Trading Snakeoil for Wolftickets,"Gary Jules, Michael Andrews"
https://music.youtube.com/watch?v=2ZdM2YBzRC8,Mera Bhai,Mera Bhai,DIVINE
https://music.youtube.com/watch?v=2ezLZMYsVcE,Mera Sapna,Tripling: Season 1 (Music from TVF Original Series),Vivek Hariharan
https://music.youtube.com/watch?v=T1edRLeqh2E,Nanchaku,Nanchaku,"Seedhe Maut, MC STAN"
https://music.youtube.com/watch?v=6Zv9mSiZGBU,No Cap,No Cap,KR$NA
https://music.youtube.com/watch?v=PhXEL2FRSag,Nuvole Bianche,Una Mattina,Ludovico Einaudi
https://music.youtube.com/watch?v=ybqDT-gyA6A,Oltremare,Divenire (Deluxe Edition),Ludovico Einaudi
https://music.youtube.com/watch?v=441eAjUdh2g,Our Own to Repair,ImMature : Season 1 (Music from the Original TV Series),Vaibhav Bundhoo
https://music.youtube.com/watch?v=T0ZmErXkbxE,Paradise City,Appetite For Destruction,Guns N' Roses
https://music.youtube.com/watch?v=62JKQbZpMVU,Perfect Ending,ImMature : Season 1 (Music from the Original TV Series),Vaibhav Bundhoo
https://music.youtube.com/watch?v=-28p6dL3Qg4,Po Nee Po (The Pain of Love),3 (Original Motion Picture Soundtrack),"Anirudh Ravichander, Mohit Chauhan"
https://music.youtube.com/watch?v=U7JKhyVagts,Poovukkul Olinthirukkum,Poovukkul Olinthirukkum,Arvind Venugopal
https://music.youtube.com/watch?v=pcM83dGBs8k,Qismat,Qismat,"Nabeel Akbar, Jokhay"
https://music.youtube.com/watch?v=eMDODWVs7zg,Raat Raazi,Raat Raazi,Prateek Kuhad
https://music.youtube.com/watch?v=xVbhHdjnrXs,River,Bishop Briggs,Bishop Briggs
https://music.youtube.com/watch?v=FzTKdHrmRvo,Shayar,Shayar,Jokhay
https://music.youtube.com/watch?v=JirXTmnItd4,Smells Like Teen Spirit,Nirvana,Nirvana
https://music.youtube.com/watch?v=ljUtuoFt-8c,Smells Like Teen Spirit,Nevermind,Nirvana
https://music.youtube.com/watch?v=geu24ZlNvK4,Solo,Solo,Dan Berk
https://music.youtube.com/watch?v=0LuignGmX_0,Somewhere Only We Know,Hopes And Fears,Keane
https://music.youtube.com/watch?v=U0fT7iuDW6M,Starsign,ImMature : Season 1 (Music from the Original TV Series),"Vaibhav Bundhoo, Neha Rathod"
https://music.youtube.com/watch?v=h3ahiOhJeN8,Still on Your Mind (Acoustic),Too Young - EP,Ethan DeRose
https://music.youtube.com/watch?v=1qMqJKRNVqc,Super Boy Super Girl,ImMature : Season 1 (Music from the Original TV Series),"Vaibhav Bundhoo, El Fé Choir"
https://music.youtube.com/watch?v=UMAlQkFyV_M,Take Me Down Easy,Take Me Down Easy,James Henry Jr.
https://music.youtube.com/watch?v=2Heiiv0h28g,Talaash,Talaash,Jokhay
https://music.youtube.com/watch?v=uGl8No5p53U,The Golden Path,ImMature : Season 1 (Music from the Original TV Series),Vaibhav Bundhoo
https://music.youtube.com/watch?v=8w2HFOcvjNU,The Kid I Used to Know,Sobville (Episode I),Arrested Youth
https://music.youtube.com/watch?v=WpG6YLTiE7E,They Ran Away,ImMature : Season 1 (Music from the Original TV Series),Vaibhav Bundhoo
https://music.youtube.com/watch?v=OAYuMygPkbI,To Build A Home,Ma Fleur,The Cinematic Orchestra
https://music.youtube.com/watch?v=ft_DVOLXEvM,Todun Taak,"Todun Taak (From ""Toofaan"")",D’Evil
https://music.youtube.com/watch?v=dYHhBIB07k0,Trampoline (Acoustic),Trampoline (Acoustic),Highland Peak
https://music.youtube.com/watch?v=6LU2MI7VPuc,Tujhe Sochta Hoon,Jannat 2 (Original Motion Picture Soundtrack),"Pritam, KK"
https://music.youtube.com/watch?v=McTvummBHt0,Vaathi Raid,Master (Original Motion Picture Soundtrack),"Anirudh Ravichander, Arivu"
https://music.youtube.com/watch?v=Y7FEeTBb2gg,Waalian,Waalian,Harnoor
https://music.youtube.com/watch?v=WQB4oNpGuDw,West Coast,Origins (Deluxe),Imagine Dragons
https://music.youtube.com/watch?v=B6GdsRIbTSk,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes
https://music.youtube.com/watch?v=0Y8Bk7qEyYE,Wrecked,Wrecked,Imagine Dragons
https://music.youtube.com/watch?v=WJn7eGX0WEw,Wrecked,Mercury - Act 1,Imagine Dragons
