Video ID,Playlist video creation timestamp
gCYcHz2k5x0,2020-12-05T15:44:00+00:00
gCYcHz2k5x0,2020-12-05T15:44:09+00:00
UtF6Jej8yb4,2020-12-05T15:44:21+00:00
Bznxx12Ptl0,2020-12-05T15:45:05+00:00
KBtk5FUeJbk,2020-12-05T15:46:24+00:00
PAzH-YAlFYc,2020-12-05T15:47:56+00:00
09R8_2nJtjg,2020-12-05T15:48:21+00:00
OPf0YbXqDm0,2020-12-05T15:48:51+00:00
2ggzxInyzVE,2020-12-05T15:49:23+00:00
4fndeDfaWCg,2020-12-05T15:50:26+00:00
CCSGelSCPGE,2020-12-05T15:51:16+00:00
POq2AznJO1Q,2020-12-05T15:52:23+00:00
r7qovpFAGrQ,2020-12-05T15:53:04+00:00
3XlAPHeAZLU,2020-12-05T15:53:57+00:00
1__CAdTJ5JU,2020-12-05T15:54:16+00:00
AebsJPV2ZYM,2020-12-05T15:55:09+00:00
L3wKzyIN1yk,2020-12-05T15:56:01+00:00
Q-GOFPM01d0,2020-12-05T15:56:22+00:00
au2n7VVGv_c,2020-12-05T15:59:23+00:00
vSW2M-BB1NE,2020-12-05T16:00:44+00:00
8JnfIa84TnU,2020-12-05T16:01:49+00:00
wDIrpvH8MzE,2020-12-05T16:05:55+00:00
bW-OLcZ4tGY,2020-12-05T16:14:03+00:00
fHI8X4OXluQ,2020-12-05T16:16:16+00:00
Zzylc-7PwQ4,2020-12-05T16:16:44+00:00
UhYRlI_bpJQ,2020-12-05T16:17:30+00:00
JGwWNGJdvx8,2020-12-05T16:19:10+00:00
k2WcOdz96ko,2020-12-05T16:41:47+00:00
_nWYiEq4wd0,2020-12-05T16:44:25+00:00
0-k1NDLysHs,2020-12-05T17:02:50+00:00
o71ggIZ1CAk,2020-12-05T17:03:08+00:00
e-ORhEE9VVg,2020-12-06T04:09:47+00:00
KIAZWfSmNOU,2020-12-09T03:47:26+00:00
KIAZWfSmNOU,2020-12-09T03:47:31+00:00
bSfpSOBD30U,2020-12-11T10:26:31+00:00
CTFtOOh47oo,2020-12-11T10:27:42+00:00
CfihYWRWRTQ,2020-12-11T14:36:22+00:00
pcv6EoCETpg,2020-12-15T13:58:57+00:00
FmSuS3TH7y8,2021-01-09T16:45:07+00:00
OI-0UydDC30,2021-03-01T06:15:57+00:00





