Playlist ID,Add new videos to top,Playlist description (original),Playlist image 1 Create timestamp,Playlist image 1 URL,Playlist image 1 Height,Playlist image 1 Width,Playlist image 2 Create timestamp,Playlist image 2 URL,Playlist image 2 Height,Playlist image 2 Width,Playlist title (original),Playlist title (original) language,Playlist create timestamp,Playlist update timestamp,Playlist video order,Playlist visibility
PL1tyrVlRgpXYlN9k4_NlFCYHCXf-SefDO,False,,,,,,,,,,Everything Data Engineering,,2024-08-21T14:41:57+00:00,2024-09-10T08:43:17+00:00,Manual,Public
PL1tyrVlRgpXaEwx-B74mxZ3SGXKbIBV_Z,False,All songs from the show,2024-01-14T12:36:16.754373201+00:00,https://yt3.googleusercontent.com/wQ_Zdgf6XSOt0UE1mR5E_dit47TJxDoP3yUpMkTHLq6_htw7-osyPSt0HL-kVPpl-Sitl9ujfR1f,1000,1000,2024-07-14T02:45:25.304269773+00:00,https://yt3.googleusercontent.com/q5TFnUNlhU7frZv-W6T5Nl7HZmYpQXD4m6TPyz6TBipvuo3FOT9pVp1h6vZ6iDGWAZEuIKkblQ,1000,1000,Rick and Morty Playlist,,2023-12-31T09:29:17+00:00,2024-07-14T02:45:25+00:00,Manual,Public
PL1tyrVlRgpXay7Z3Y5R8-iAvp8IllmVxP,False,,,,,,,,,,18th Dec,,2023-12-17T04:37:18+00:00,2023-12-18T05:39:07+00:00,Manual,Private
PL1tyrVlRgpXYYtkJpFUNuriJgMfoxmApU,False,,,,,,,,,,Watch list today,,2023-12-16T18:29:45+00:00,2023-12-18T05:40:31+00:00,Date published (oldest),Private
PL1tyrVlRgpXbaHP_g0HUQUG1_9L6wYSlv,False,,2022-12-07T04:16:53.314893625+00:00,https://yt3.googleusercontent.com/VLX5yKWf2io3h0UCYaajZbSMmDjwCSACYpjf6A4T7wEE9V5OBKnsSJ8nDq3VHpi1OAwlhPS9JmpW,1000,1000,,,,,New Discoveries,,2022-12-07T03:47:41+00:00,2022-12-07T04:16:53+00:00,Manual,Public
PL1tyrVlRgpXYEPW7T1KhNngpq9CRlv8pc,False,,2022-11-10T05:27:32.560498109+00:00,https://yt3.googleusercontent.com/WMrZ2Tz6B5DqGbk8Qtqgatbf9Poi5WiWhR-FEA7tX5iLKtJxkxMfehRm5E4N3lZXh26sz_wGCjs,1000,1000,,,,,Foodie playlist,,2022-11-09T08:56:31+00:00,2022-11-10T05:27:32+00:00,Manual,Public
PL1tyrVlRgpXZuvvr6MtTcBGclIqyCpHXX,False,,,,,,,,,,Really Good Programing Resouces,,2021-05-29T04:01:20+00:00,2022-01-18T08:12:53+00:00,Manual,Private
PL1tyrVlRgpXa6V-1hc26Ku54N87i2g4cV,False,,,,,,,,,,covid,,2021-04-25T08:07:23+00:00,2021-05-15T07:08:12+00:00,Manual,Private
PL1tyrVlRgpXYc31gvxkF7KIP96mfPl5FO,False,,2022-12-14T13:58:57.021865523+00:00,https://yt3.googleusercontent.com/QTGMnpSttkpBNJO4ICGyvDBLyfAgHcz20GxqfEzmDICKSuruSzcbP-c88wwJV68qaWXNXKYZAUI,1000,1000,,,,,Gym songs,,2021-03-05T01:21:07+00:00,2023-10-25T03:40:03+00:00,Manual,Public
PL1tyrVlRgpXYLaGaqvBLX5qtWEWhBPs2j,False,,2020-12-16T14:46:20.681942636+00:00,https://yt3.ggpht.com/8qDvlViSjFfU_cOvA7rowbnddcYzM0ywRYpI4cXBnNeuEUu-4ylgbBm1Kp8CzWzzO096s6QoOok,1000,1000,,,,,Friday Party,,2020-12-05T15:44:00+00:00,2021-03-01T06:15:57+00:00,Manual,Public
PL1tyrVlRgpXZp72YutpsUN1D5NM7osj5H,False,,,,,,,,,,Statistics Basics,,2020-10-22T07:06:37+00:00,2020-10-22T07:06:37+00:00,Manual,Public
PL1tyrVlRgpXbjCMwIHIC21mOGt_kvf9a2,False,,,,,,,,,,Non linear dynamics and Chaos,,2020-03-21T04:06:09+00:00,2020-06-03T13:03:00+00:00,Manual,Private
PL1tyrVlRgpXY9hFVAF7S96LtWXbgFZYVi,False,,,,,,,,,,ansys playlist,,2019-03-19T08:48:20+00:00,2021-09-17T08:06:13+00:00,Manual,Public
PL1tyrVlRgpXZni6_OnOJnY9HjgYYlnj2Q,False,,2020-12-04T12:37:17.798357064+00:00,https://yt3.ggpht.com/6tPiDUWv0vIWvliOuovyQ98TwrNt-2P9xZCjHjIhT7kd6iWsHHVhof1p84hFxTpLG7-ZglD2iq4,1000,1000,,,,,BEST songs,,2019-02-23T04:42:26+00:00,2020-12-04T12:37:17+00:00,Manual,Public
PL1tyrVlRgpXa1T4L1ivTt2vkiCIcrjorj,False,,,,,,,,,,kin of machine,,2017-12-04T12:33:31+00:00,2017-12-04T12:33:31+00:00,Manual,Public
PL1tyrVlRgpXZCxTalzmENNBPtWrgtNPLD,False,,,,,,,,,,dyn of machine,,2017-12-04T12:33:02+00:00,2017-12-04T12:33:02+00:00,Manual,Public
PL1tyrVlRgpXac2DpjNwHQ41yCeTYsCOaS,False,,,,,,,,,,machine desing and drawing,,2017-12-04T12:31:11+00:00,2017-12-04T12:31:11+00:00,Manual,Public
PL1tyrVlRgpXYmxRmaoAKCwX7P9jl0P0yp,False,,,,,,,,,,Watch later,en_US,2015-01-18T10:13:12+00:00,2024-08-08T11:08:20+00:00,Date added (newest),Private





